,Field Name,Label/Description
0,RECTYPE,Record type (1=mainstream school; 2=special school; 3=Local Authority; 4=National (all schools); 5=National (maintained schools))
1,ALPHAIND,Alphabetic index
2,LEA,Local authority number
3,ESTAB,Establishment number
4,URN,School unique reference number
5,SCHNAME,School/Local authority name
6,ADDRESS1,School address (1)
7,ADDRESS2,School address (2)
8,ADDRESS3,School address (3)
9,TOWN,School town
10,PCODE,School postcode
11,TELNUM,School telephone number 
12,URN_AC,Converter academy: URN 
13,SCHNAME_AC,Converter academy: name
14,OPEN_AC,Converter academy: open date
15,NFTYPE,School type
16,ICLOSE,Closed Flag
17,RELDENOM,Religious denomination
18,AGERANGE,Age range
19,CONFEXAM,Confirmation flag that core performance information has been checked
20,TAB15,School published in secondary school (key stage 4) performance tables
21,TAB1618,School published in school and college (key stage 5) performance tables
22,TOTPUPS,Total number of pupils (including part-time pupils)
23,TPUPYEAR,Number of pupils aged 11 
24,TELIG,Published eligible pupil number
25,BELIG,Eligible boys on school roll at time of tests
26,GELIG,Eligible girls on school roll at time of tests
27,PBELIG,Percentage of eligible boys on school roll at time of tests
28,PGELIG,Percentage of eligible girls on school roll at time of tests
29,TKS1AVERAGE,Cohort level key stage 1 average points score
30,TKS1GROUP_L,Number of pupils in cohort with low KS1 attainment
31,PTKS1GROUP_L,Percentage of pupils in cohort with low KS1 attainment
32,TKS1GROUP_M,Number of pupils in cohort with medium KS1 attainment
33,PTKS1GROUP_M,Percentage of pupils in cohort with medium KS1 attainment
34,TKS1GROUP_H,Number of pupils in cohort high KS1 attainment
35,PTKS1GROUP_H,Percentage of pupils in cohort with high KS1 attainment
36,TKS1GROUP_NA,No. of pupils in KS1group not calculable
37,PTKS1GROUP_NA,Percentage of pupils in KS1group not calculable
38,TFSM6CLA1A,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
39,PTFSM6CLA1A,Percentage of key stage 2 disadvantaged pupils
40,TNotFSM6CLA1A,Number of key stage 2 pupils who are not disadvantaged
41,PTNotFSM6CLA1A,Percentage of key stage 2 pupils who are not disadvantaged
42,TEALGRP2,Number of eligible pupils with English as additional language (EAL)
43,PTEALGRP2,Percentage of eligible pupils with English as additional language (EAL)
44,TMOBN,Number of eligible pupils classified as non-mobile
45,PTMOBN,Percentage of eligible pupils classified as non-mobile
46,TSENELSE,Number of eligible pupils with SEN with statement or EHC plan
47,PSENELSE,Percentage of eligible pupils with SEN with Statement or EHC plan
48,PTRWM_EXP,"Percentage of pupils reaching the expected standard in reading, writing and maths"
49,PTRWM_HIGH,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
50,READPROG,Reading progress measure
51,READPROG_LOWER,Reading progress measure - lower confidence limit
52,READPROG_UPPER,Reading progress measure - upper confidence limit
53,READCOV,Reading progress measure - coverage
54,WRITPROG,Writing progress measure
55,WRITPROG_LOWER,Writing progress measure - lower confidence limit
56,WRITPROG_UPPER,Writing progress measure - upper confidence limit
57,WRITCOV,Writing progress measure - coverage
58,MATPROG,Maths progress measure
59,MATPROG_LOWER,Maths progress measure - lower confidence limit
60,MATPROG_UPPER,Maths progress measure - upper confidence limit
61,MATCOV,Maths progress measure - coverage
62,PTREAD_EXP,Percentage of pupils reaching the expected standard in reading
63,PTREAD_HIGH,Percentage of pupils achieving a high score in reading
64,PTREAD_AT,Percentage of pupils absent from or not able to access the test in reading
65,READ_AVERAGE,Average scaled score in reading
66,PTGPS_EXP,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
67,PTGPS_HIGH,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
68,PTGPS_AT,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
69,GPS_AVERAGE,"Average scaled score in grammar, punctuation and spelling"
70,PTMAT_EXP,Percentage of pupils reaching the expected standard in maths
71,PTMAT_HIGH,Percentage of pupils achieving a high score in maths
72,PTMAT_AT,Percentage of pupils absent from or not able to access the test in maths
73,MAT_AVERAGE,Average scaled score in maths
74,PTWRITTA_EXP,Percentage of pupils reaching the expected standard in writing
75,PTWRITTA_HIGH,Percentage of pupils working at greater depth within the expected standard in writing
76,PTWRITTA_WTS,Percentage of pupils working towards the expected standard in writing
77,PTWRITTA_AD,Percentage of pupils absent or disapplied in writing TA
78,PTSCITA_EXP,Percentage of pupils reaching the expected standard in science TA
79,PTSCITA_AD,Percentage of pupils absent or disapplied in science TA
80,PTREADTA_EXP,Percentage of pupils reaching the expected standard in reading TA
81,PTREADTA_AD,Percentage of pupils absent or disapplied in reading TA
82,PTMATTA_EXP,Percentage of pupils reaching the expected standard in maths TA
83,PTMATTA_AD,Percentage of pupils absent or disapplied in maths TA
84,PTRWM_EXP_B,"Percentage of boys reaching the expected standard in reading, writing and maths"
85,PTRWM_EXP_G,"Percentage of girls reaching the expected standard in reading, writing and maths"
86,PTRWM_EXP_L,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
87,PTRWM_EXP_M,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
88,PTRWM_EXP_H,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
89,PTRWM_EXP_FSM6CLA1A,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths"
90,PTRWM_EXP_NotFSM6CLA1A,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths"
